report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,
2819,2015,WASPD00,"Seattle, WA",683700,4093,23,144,2394,1532,NaN,598.65,3.36,21.06,350.15,224.07
2820,2015,MOSPD00,"St. Louis, MO",317095,5762,188,263,3521,1790,NaN,1817.12,59.29,82.94,1110.39,564.5
2821,2015,NY05101,"Suffolk County, NY",1341453,1675,24,79,895,677,NaN,124.86,1.79,5.89,66.72,50.47
2822,2015,FL02902,"Tampa, FL",364383,2298,34,77,1516,671,NaN,630.66,9.33,21.13,416.05,184.15
2823,2015,AZ01003,"Tucson, AZ",529675,3472,31,422,1960,1059,NaN,655.5,5.85,79.67,370.04,199.93
2824,2015,OK07205,"Tulsa, OK",401520,3628,55,365,2354,854,NaN,903.57,13.7,90.9,586.27,212.69
2825,2015,VA12800,"Virginia Beach, VA",452797,626,19,103,234,270,NaN,138.25,4.2,22.75,51.68,59.63
2826,2015,DCMPD00,"Washington, DC",672228,8084,162,494,4024,3404,NaN,1202.57,24.1,73.49,598.61,506.38
2827,2015,KS08703,"Wichita, KS",389824,3839,27,349,2730,733,NaN,984.8,6.93,89.53,700.32,188.03
2828,2015,NaN,United States,NaN,1197704,15696,NaN,NaN,NaN,NaN,372.6,4.9,NaN,NaN,NaN
